AGEB_ID,Males,Females,0-14 years,15-64 years,65+ years,yes,no,Roman Catholics,Protestants,No religion,Population,Area,Density,Other religion
3105000016793,1768,1889,806,2654,197,2845,6,2650,417,567,3657,0.82400km²,4438/km²,11
3105000017043,152,159,56,243,12,255,,202,46,55,311,0.31318km²,993.0/km²,5
3105000013873,1033,1025,684,1302,70,1316,58,1248,556,246,2058,0.85546km²,2406/km²,
3105000016952,1038,1094,567,1536,29,1558,7,1468,337,315,2132,0.43150km²,4941/km²,9
3105000016986,332,324,168,484,4,483,5,439,114,102,656,0.37979km²,1727/km²,
3105000016859,629,696,505,781,39,789,31,637,337,343,1325,0.11366km²,11658/km²,4
3105000013604,357,351,195,452,44,482,31,410,176,105,708,0.38189km²,1854/km²,
3105000013977,2421,2741,887,4008,265,4184,91,4167,594,391,5162,0.50695km²,10182/km²,8
3105000014640,809,904,277,1344,89,1426,10,1345,169,191,1713,0.37568km²,4560/km²,6
3105000013303,2075,2301,797,3263,292,3540,39,3619,410,312,4376,0.33635km²,13010/km²,8
3105000014585,236,202,80,314,44,358,,355,25,51,438,0.22628km²,1936/km²,7
3105000014180,948,1176,224,1354,544,1892,8,1755,138,212,2124,0.44643km²,4758/km²,12
3105000015028,1114,1311,338,1843,244,2079,8,2026,124,244,2425,0.46115km²,5259/km²,24
3105000011608,751,884,230,1030,375,1379,26,1359,121,139,1635,0.41349km²,3954/km²,7
3105000015441,460,419,259,557,50,583,37,543,179,137,879,0.40985km²,2145/km²,3
3105000015460,1264,1354,556,1890,169,2058,4,1933,302,357,2618,0.39955km²,6552/km²,16
3105000015899,114,115,66,148,15,155,8,105,72,50,229,0.27157km²,843.2/km²,
3105000016100,128,102,40,157,33,181,9,150,60,16,230,0.89385km²,257.3/km²,
3105000016863,816,804,455,1147,18,1157,8,1019,305,285,1620,0.20945km²,7735/km²,9
3105000013500,1211,1218,729,1597,97,1588,112,1440,522,457,2429,1.709km²,1421/km²,
3105000016242,,,,,,,,,,,0,0.97210km²,0/km²,
310500001669A,1193,1339,539,1889,104,1993,,1891,215,410,2532,0.97292km²,2602/km²,11
3105000016971,486,567,220,782,51,833,,779,109,163,1053,0.33524km²,3141/km²,
3105000016261,277,293,115,421,34,455,,439,66,63,570,0.58024km²,982.4/km²,
3105000016774,1363,1428,647,2057,87,2141,3,2048,360,372,2791,0.53150km²,5251/km²,5
310500001594A,458,444,195,654,53,707,,684,78,131,902,0.12854km²,7017/km²,9
310500001427A,402,407,207,551,51,602,,655,33,105,809,1.534km²,527.5/km²,6
3105000016717,1260,1284,685,1775,84,1856,3,2012,269,254,2544,0.39415km²,6454/km²,5
310500001701A,1084,1044,577,1532,19,1538,13,1236,407,478,2128,0.11884km²,17906/km²,6
310500001562A,304,308,173,404,35,412,27,407,93,111,612,0.60001km²,1020/km²,
3105000016420,76,63,25,105,9,106,8,90,20,29,139,0.26080km²,533.0/km²,
3105000014689,1909,2050,1025,2746,188,2861,73,2652,781,517,3959,0.63873km²,6198/km²,9
3105000016651,1640,1807,699,2585,162,2745,3,2555,438,423,3447,0.62339km²,5529/km²,16
